epoch,train_total,train_recon,train_kld,val_total,val_recon,val_kld,val_gap,lr
1,11.054363510131836,11.052100411309135,2.2631729629834494,6.58291259765625,6.575077392578125,7.835251953125,-4.471450912475586,0.001
2,4.4686363593207465,4.454711641099718,13.924698893229166,2.948116943359375,2.9279969482421877,20.1200009765625,-1.5205194159613717,0.001
3,1.9720785280863444,1.9458636508517795,26.21488100857205,1.0518148498535156,1.018279296875,33.5355537109375,-0.9202636782328288,0.001
4,0.8506907691955566,0.8158552754720052,34.83549254014757,0.6252713623046875,0.5899139099121093,35.35746875,-0.22541940689086915,0.001
5,0.4454364952511258,0.40962956449720594,35.80692877875434,0.3682160949707031,0.3323437957763672,35.87230078125,-0.07722040028042265,0.001
6,0.2686134096781413,0.2326081215540568,36.005287434895834,0.22288428497314453,0.1868748016357422,36.009484375,-0.045729124704996765,0.001
7,0.1835952450434367,0.14785998143090143,35.73526284450955,0.1676550521850586,0.13205627059936523,35.5987734375,-0.015940192858378083,0.001
8,0.1492277637587653,0.1140477556652493,35.18000572374132,0.1407630615234375,0.10594078445434571,34.822271484375,-0.008464702235327803,0.001
9,0.12680303075578478,0.0924193583197064,34.38367080349392,0.11762551879882813,0.08348323822021485,34.14227734375,-0.009177511956956652,0.001
10,0.10856493600209555,0.07497334305445354,33.591591742621524,0.10342462921142578,0.07002977752685546,33.394849609375,-0.005140306790669763,0.001
11,0.09675854587554931,0.06390906114048428,32.84948291015625,0.09369745254516601,0.06104345703125,32.6539921875,-0.003061093330383305,0.001
12,0.08859256418546041,0.056525736186239454,32.066826280381946,0.08653185653686524,0.054656923294067385,31.8749326171875,-0.0020607076485951725,0.001
13,0.0824621217250824,0.0511076922416687,31.35442781575521,0.08011613464355469,0.04904966926574707,31.0664638671875,-0.002345987081527709,0.001
14,0.07737659438451132,0.046805422041151255,30.571170640733506,0.07555107116699218,0.04513750457763672,30.4135673828125,-0.0018255232175191372,0.001
15,0.07325335717201233,0.043351200064023335,29.902156019422744,0.07203416442871094,0.042402435302734375,29.6317236328125,-0.0012191927433013866,0.001
16,0.07021852408515082,0.04100842420260112,29.210098449707033,0.0684227523803711,0.03940628623962402,29.01646484375,-0.0017957717047797223,0.001
17,0.06646670473946466,0.03789264178276062,28.574061618381076,0.06478136825561523,0.036365734100341794,28.4156337890625,-0.0016853364838494284,0.001
18,0.06365452994240654,0.03563102380434672,28.023504876030817,0.06233834457397461,0.03446235752105713,27.875986328125,-0.0013161853684319352,0.001
19,0.06247042096985711,0.03502313570181529,27.447284342447915,0.06206727409362793,0.034754026412963865,27.3132470703125,-0.00040314687622917955,0.001
20,0.060437176360024346,0.03354242483774821,26.894750040690106,0.058971914291381836,0.03209708404541016,26.8748291015625,-0.0014652620686425102,0.001
21,0.0575225093099806,0.03111817804972331,26.404329820421008,0.05536524963378906,0.0291231632232666,26.2420830078125,-0.002157259676191542,0.001
22,0.05596994156307644,0.030098384486304388,25.871555467393662,0.05806353378295898,0.03218377304077148,25.879759765625,0.002093592219882541,0.001
23,0.055073148753907945,0.029578777174154917,25.494370415581596,0.05173913192749023,0.026291404724121094,25.4477265625,-0.003334016826417714,0.001
24,0.05269009486834208,0.02764929680691825,25.0407970445421,0.05326536178588867,0.02827145767211914,24.9939033203125,0.0005752669175465921,0.001
25,0.051312689926889206,0.026624399483203887,24.688289340549044,0.05073990058898926,0.026004379272460937,24.735521484375,-0.0005727893378999482,0.001
26,0.05065565019183689,0.026300463477770486,24.35518546549479,0.05019283866882324,0.02586307144165039,24.3297666015625,-0.00046281152301364675,0.001
27,0.04973186124695672,0.02575466889805264,23.97719083658854,0.04972776412963867,0.025818007469177246,23.909755859375,-4.097117318052623e-06,0.001
28,0.048372690624660916,0.024751366946432325,23.621322469075523,0.04687527847290039,0.02330933094024658,23.5659462890625,-0.0014974121517605243,0.001
29,0.0468959363301595,0.02358744717968835,23.308488226996527,0.047373199462890626,0.024142439842224122,23.230759765625,0.0004772631327311233,0.001
30,0.046331284748183356,0.023323497268888684,23.00778672281901,0.04512821578979492,0.022192417144775392,22.9357978515625,-0.0012030689583884327,0.001
31,0.04526802325248718,0.02254402960671319,22.72399260796441,0.04485641288757324,0.022098180770874023,22.7582314453125,-0.0004116103649139391,0.001
32,0.044534954680336844,0.02201510457197825,22.519849026150172,0.04436380958557129,0.02187958812713623,22.4842197265625,-0.00017114509476555406,0.001
33,0.043561256011327106,0.02134590244293213,22.215352484809028,0.042681917190551755,0.020457414627075194,22.2245029296875,-0.0008793388207753508,0.001
34,0.04288090666135152,0.020866106212139128,22.01479955376519,0.04228247261047363,0.020177008628845215,22.105462890625,-0.0005984340508778871,0.001
35,0.04227409913804796,0.020442600886027017,21.831497090657553,0.04248184967041015,0.020640445709228517,21.8414013671875,0.0002077505323621956,0.001
36,0.04121638872888353,0.019630212479167516,21.586175286187068,0.04180006790161133,0.020188380241394042,21.6116865234375,0.000583679172727801,0.001
37,0.040402457210752696,0.019079874998993343,21.322581136067708,0.039492536544799804,0.018064261436462403,21.4282744140625,-0.0009099206659528916,0.001
38,0.03963843650288052,0.01853983735375934,21.098598130967883,0.04260741996765137,0.021398303985595703,21.209115234375,0.0029689834647708482,0.001
39,0.040095612088839216,0.01913881833685769,20.956792995876736,0.04195810317993164,0.020996380805969238,20.9617197265625,0.0018624910910924261,0.001
40,0.03777255622545878,0.016996143334441716,20.776411810980903,0.03631479072570801,0.015507039070129394,20.80775,-0.0014577654997507752,0.001
41,0.03637669338120354,0.015744194838735792,20.632497124565973,0.03716884231567383,0.01649320936203003,20.6756318359375,0.0007921489344702853,0.001
42,0.036043946199946934,0.015574134273661508,20.469811082628038,0.036564748764038084,0.016092400074005128,20.47234765625,0.0005208025640911496,0.001
43,0.035676967196994355,0.01537752491235733,20.29944101969401,0.03589760971069336,0.01557105827331543,20.3265517578125,0.000220642513699007,0.001
44,0.034722524563471475,0.014553060763412052,20.16946253797743,0.034317527770996094,0.014026230812072753,20.291296875,-0.00040499679247538167,0.001
45,0.034684162153138055,0.014598943306340111,20.085217963324652,0.034366058349609374,0.014246397018432617,20.11966015625,-0.00031810380352868123,0.001
46,0.033732895572980245,0.01379256566034423,19.9403289320204,0.03435482597351074,0.01444273805618286,19.9120869140625,0.0006219304005304974,0.001
